id,uuid,name,address,address2,city,state,zip,country,phone,website,created_at
0,2859d6e0-1cb9-4fe9-bc00-97823a9fa4cb,Yundt-Flatley,1386 Lim Brooks,Suite 517,Lake Betsy,IA,19416,US,4034880719,http://www.halvorson.com/,2012-12-10 16:17:58
1,d083169c-4340-4a07-b390-07d297823efd,Botsford Ltd,74883 Hane Prairie,,Margrettburgh,KS,99840,US,2462288476,http://bergstrom.org/,2013-11-19 23:26:13
2,744f1e2c-7e92-41cd-8549-5eebd80393ac,"Turner, Kris and Conroy",194 Reino Ways,Apt. 735,East Harlon,NH,15676,US,1788019885,http://schmitt.net/,2014-03-27 07:56:45
3,5c2169f1-a319-469b-bc40-8c89623c686e,Kertzmann LLC,7042 Etna Mountains,,Lake Tobi,KS,63064,US,4442359224,http://okeefe.info/,2012-12-16 20:18:08
4,2e169d71-d653-4f81-8459-39dd818faa9e,Nader-Mosciski,40211 Jerad Junctions,Apt. 842,Bostonside,AL,59061,US,7106578275,http://schumm.com/,2015-12-22 01:06:57
5,4c23e2ef-29ec-445a-a1e6-01774934f93e,"Renner, Ferry and Dibbert",7818 Imo Prairie,Apt. 698,Larueview,AZ,99407,US,5491562078,http://www.schiller-bartell.net/,2012-06-28 23:46:32
6,f888d9d1-48d3-4b0b-b52b-5dfcd3689c02,Fritsch and Sons,428 Hunt Highway,,Stracketon,VT,22863,US,6068112791,http://www.schmeler.com/,2014-01-14 13:17:54
7,6c531f5c-13a7-423e-b3d2-b435b7756eeb,Bins-Bosco,37430 Buckridge Garden,Suite 553,Ottiliachester,VT,73989,US,1516769808,http://www.cartwright-white.com/,2016-01-14 04:39:05
8,4b37ac62-bd98-4890-88dd-e2b94409e753,"Mueller, Davis and Pfeffer",01644 Grimes Light,Suite 411,Trantowville,ND,2648,US,8827125278,http://www.schaefer.com/,2012-12-24 07:07:58
9,bb7ec49f-3197-4d77-84e1-9c67666f6218,Lockman-Ward,11518 Muller Plains Suite 737,,East Arlan,DC,2762,US,7888247882,http://legros.org/,2014-11-04 20:31:02
